,text,predicted_gpt35
0," I`d have responded, if I were going",neutral
1, Sooo SAD I will miss you here in San Diego!!!,negative
2,my boss is bullying me...,negative
3, what interview! leave me alone,negative
4," Sons of ****, why couldn`t they put them on the releases we already bought",negative
5,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,positive
6,2am feedings for the baby are fun when he is all smiles and coos,positive
7,Soooo high,positive
8, Both of you,neutral
9, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive
10," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",negative
11,I really really like the song Love Story by Taylor Swift,positive
12,My Sharpie is running DANGERously low on ink,negative
13,i want to go to music tonight but i lost my voice.,negative
14,test test from the LG enV2,neutral
15,"Uh oh, I am sunburned",negative
16," S`ok, trying to plot alternatives as we speak *sigh*",negative
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative
18,is back home now      gonna miss every one,positive
19,Hes just not that into you,negative
20," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",positive
21,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
22,is cleaning the house for her family who is comming later today..,neutral
23,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,negative
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,negative
25,"the free fillin` app on my ipod is fun, im addicted",positive
26,  I`m sorry.,negative
27,On the way to Malaysia...no internet access to Twit,negative
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
29,Went to sleep and there is a power cut in Noida  Power back up not working too,negative
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
31,i hope unni will make the audition . fighting dahye unni !,positive
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
33, That`s very funny.  Cute kids.,positive
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
35,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",positive
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",negative
41,im an avid fan of **** magazine and i love your magazines,positive
42,MAYDAY?!,neutral
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",positive
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ÃÂ¯ÃÂ¿ÃÂ½,neutral
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
47,:visiting my friendster and facebook,neutral
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
49, which case? I got a new one last week and I`m not thrilled at all with mine.,negative
50, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,negative
51," also bored at school, its my third freelesson( freistunde )",neutral
52, hm... Both of us I guess...,neutral
53, it is ****...u have dissappointed me that past few days,negative
54, romance zero is funny,neutral
55, I`d rather do the early run..but I am a morning runner,positive
56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
57,will be back later.  http://plurk.com/p/rp3k7,neutral
58,Aw. Torn ace of hearts  #Hunchback,neutral
59, what fun are you speaking of?,neutral
60,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
61, haha yes,positive
62,I give in to easily,negative
63,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
64,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
65,Is at a photoshoot.,neutral
66,  He`s awesome... Have you worked with him before? He`s a good friend.,positive
67,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,negative
68,Chilliin,neutral
69," If you know such agent, do let me know",neutral
70,I still smell of smoke  #kitchenfire,negative
71, a celtics-lakers rematch sounds better don`t you think? lol,neutral
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",positive
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",positive
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,positive
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
77, My sources say no,neutral
78,I am sooo tired,negative
79," Hey, you change your twitter account, and you didn`t even tell me...",negative
80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
81, lucky kid...i so wanna see loserville  pity im in oz....,positive
82,fell asleep waiting for my ride!,negative
83,Sick. With a flu like thing.,negative
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",negative
85,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",negative
88,i miss you bby      wish you were going tomorrow to make me do good.,positive
89, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive
90, SWEEEEET - San Fran is awesome!!!!  Love it there,positive
91,_Mounce yes and it lasts way past my bedtime!,positive
92, Hi  how are you doing ???  *just joined twitter...*,neutral
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative
94,eating ice cream and then getting ready for graduation.,positive
95,Happy Mothers day to all you Mums out there,positive
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",negative
97, hemp cloth is marvelous but unfortunately no,negative
98,Gonna read a story bout adam lambert online then bed. Nighty night,positive
99, We saw that in none 3D - the baddie`s the best,positive
