,text,predicted_labels,annotation_correct
0," I`d have responded, if I were going",neutral,1.0
1, Sooo SAD I will miss you here in San Diego!!!,negative,1.0
2,my boss is bullying me...,negative,1.0
3, what interview! leave me alone,negative,1.0
4," Sons of ****, why couldn`t they put them on the releases we already bought",negative,1.0
5,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,positive,0.0
6,2am feedings for the baby are fun when he is all smiles and coos,positive,1.0
7,Soooo high,positive,0.0
8, Both of you,neutral,1.0
9, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,1.0
10," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",negative,0.0
11,I really really like the song Love Story by Taylor Swift,positive,1.0
12,My Sharpie is running DANGERously low on ink,negative,1.0
13,i want to go to music tonight but i lost my voice.,negative,1.0
14,test test from the LG enV2,neutral,1.0
15,"Uh oh, I am sunburned",negative,1.0
16," S`ok, trying to plot alternatives as we speak *sigh*",negative,1.0
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,1.0
18,is back home now      gonna miss every one,positive,0.0
19,Hes just not that into you,negative,0.0
20," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",positive,0.0
21,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,1.0
22,is cleaning the house for her family who is comming later today..,neutral,1.0
23,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,negative,0.0
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,negative,0.0
25,"the free fillin` app on my ipod is fun, im addicted",positive,1.0
26,  I`m sorry.,negative,1.0
27,On the way to Malaysia...no internet access to Twit,negative,1.0
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,1.0
29,Went to sleep and there is a power cut in Noida  Power back up not working too,negative,1.0
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,1.0
31,i hope unni will make the audition . fighting dahye unni !,positive,1.0
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,1.0
33, That`s very funny.  Cute kids.,positive,1.0
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,1.0
35,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,1.0
