,text,predicted_davinci
0," I`d have responded, if I were going",neutral
1, Sooo SAD I will miss you here in San Diego!!!,negative
2,my boss is bullying me...,negative
3, what interview! leave me alone,negative.
4," Sons of ****, why couldn`t they put them on the releases we already bought",negative
5,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,positive
6,2am feedings for the baby are fun when he is all smiles and coos,positive
7,Soooo high,neutral
8, Both of you,neutral.
9, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive
10," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",negative
11,I really really like the song Love Story by Taylor Swift,positive
12,My Sharpie is running DANGERously low on ink,negative
13,i want to go to music tonight but i lost my voice.,neutral
14,test test from the LG enV2,neutral
15,"Uh oh, I am sunburned",negative
16," S`ok, trying to plot alternatives as we speak *sigh*",neutral
17,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",neutral
18,is back home now      gonna miss every one,positive
19,Hes just not that into you,negative
20," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",positive
21,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
22,is cleaning the house for her family who is comming later today..,positive
23,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,negative.
24,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
25,"the free fillin` app on my ipod is fun, im addicted",positive
26,  I`m sorry.,neutral
27,On the way to Malaysia...no internet access to Twit,neutral
28,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive.
29,Went to sleep and there is a power cut in Noida  Power back up not working too,neutral
30,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
31,i hope unni will make the audition . fighting dahye unni !,positive
32, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,neutral
33, That`s very funny.  Cute kids.,positive
34," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
35,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",positive
36,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,positive
37,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",positive
38,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
39,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive.
40," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",negative
41,im an avid fan of **** magazine and i love your magazines,positive
42,MAYDAY?!,negative
43,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",positive
44, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ÃÂ¯ÃÂ¿ÃÂ½,positive
45,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
46,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative.
47,:visiting my friendster and facebook,positive.
48,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
49, which case? I got a new one last week and I`m not thrilled at all with mine.,negative
50, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,negative
51," also bored at school, its my third freelesson( freistunde )",negative
52, hm... Both of us I guess...,neutral
53, it is ****...u have dissappointed me that past few days,negative.
54, romance zero is funny,positive
55, I`d rather do the early run..but I am a morning runner,positive
56,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
57,will be back later.  http://plurk.com/p/rp3k7,neutral
58,Aw. Torn ace of hearts  #Hunchback,neutral
59, what fun are you speaking of?,neutral
60,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
61, haha yes,positive.
62,I give in to easily,negative
63,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
64,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
65,Is at a photoshoot.,neutral
66,  He`s awesome... Have you worked with him before? He`s a good friend.,positive
67,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,positive
68,Chilliin,neutral
69," If you know such agent, do let me know",neutral
70,I still smell of smoke  #kitchenfire,negative
71, a celtics-lakers rematch sounds better don`t you think? lol,positive
72,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",positive
73,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",positive
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,positive
75,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
76,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",positive
77, My sources say no,neutral
78,I am sooo tired,negative
79," Hey, you change your twitter account, and you didn`t even tell me...",negative
80, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
81, lucky kid...i so wanna see loserville  pity im in oz....,neutral.
82,fell asleep waiting for my ride!,neutral
83,Sick. With a flu like thing.,negative
84,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",neutral
85,Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
86, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,positive
87,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",positive.
88,i miss you bby      wish you were going tomorrow to make me do good.,positive
89, Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,neutral
90, SWEEEEET - San Fran is awesome!!!!  Love it there,positive
91,_Mounce yes and it lasts way past my bedtime!,positive.
92, Hi  how are you doing ???  *just joined twitter...*,neutral
93,waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative.
94,eating ice cream and then getting ready for graduation.,positive
95,Happy Mothers day to all you Mums out there,positive
96," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",positive
97, hemp cloth is marvelous but unfortunately no,neutral
98,Gonna read a story bout adam lambert online then bed. Nighty night,neutral
99, We saw that in none 3D - the baddie`s the best,neutral
100,4am. And Im on the beach. Pretty,positive
101," Certainly not Cheers than, huh?",neutral
102,"1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!",neutral
103,i realy wanted to go out cause its so nice but everybodys busy,neutral
104, Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
105,at least I get to watch over time  Let`s go Pens!!,positive
106, cool i wear black most of the time when i go out,positive
107, haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
108, have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
109," woof, I wish I was allowed to go",neutral
110,if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,positive.
111,  has tickets.......?,neutral
112,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",positive
113, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
114,"Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us",positive
115,So many tests todayyy  I don`t feel confident about anyy.,negative
116,graduation is done  im a little sad.. anyone want to hang out???,neutral
117, hahaa your awesomee !,positive.
118,holy smokes! star trek was freaking awesomeeeee,positive
119,"I hate Fallout 3 it keeps making me jump, I`m also low on health, money, ammo and food  don`t worry I`ll get through it.",negative
120," I had it! On my itunes, but then I lost all my songs.",neutral
121,What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
122,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",negative
123," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",positive
124,not well,negative.
125, Not a prob hun,positive
126,"at dads, watching some mtv and am going on sims2 in a minutee",neutral
127, Absolutely,positive
128, what`s the matter chickadee?,neutral
129, hey mia!  totally adore your music.  when will your cd be out?,positive
130,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive
131, =O you need to ask him something? Lmao I love him too,positive
132, those splinters look very painful...but you were being very heroic saving mr. Pickle,positive
133, why are you sad?,neutral
134, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
135,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,neutral
136, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
137," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",positive
138,Humous and Dorito`s.... Oh yes,positive
139,"missed all the awesome weather, because she was in a movie!",neutral
140,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral
141,"These kids are terrible! If I was in Good Evans, I`d call Childline",negative
142,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",neutral
143," What`s sad is that I actually had to google that term. That sucks, tho.",negative
144,Hate fighting,negative
145," I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral
146,Car-warmed Sprite tastes like sore throat,negative
147,Just came 11th in cross country and beat dumbo,positive
148,Candle wax is very enjoyable.,positive
149," She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive
150,tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
151,goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
152, me too. I hate my computer so much..,negative
153, fine! Going to do my big walk today 20 or so miles,positive
154,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,positive
155,Mmmmmmmm... ? it in the morning,neutral
156, me neither,neutral
157,"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral
158,Bugger. forgot I still have washing in my machine,negative.
159,"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive
160,My back hurts...really bad,negative
161," ah yes, I know that feeling",neutral.
162,Night of the cookers with my dad,positive
163,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,neutral
164, Nope I am in Coquitlam,neutral
165, Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative.
166,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive
167,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral
168,Few Bevvies 2day in twn..great on a day off!!,positive
169,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive
170, good morning,positive
171, its the best show EVER!,positive
172,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,neutral
173,i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral
174, I want to know when the auditions are Mander! Text or...reply please!,neutral
175,or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative
176, I miss my neice  can`t wait to see her bad n grown ****! Lol,positive
177,i need to get my computer fixed,neutral
178,really hopes her car`s illness is not terminal...,neutral
179,"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral
180, no sir...i woulda put honey...but i don`t have any,neutral
181,who watched X-men origins: wolverine? i totally loved it! haha,positive
182, I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive
183, I`m sad that I missed you guys last night!,negative
184,Finally got a call for marriage counseling 3 days late....,neutral
185, ok then,neutral
186,_420 why baby?,neutral
187,today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative.
188,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral
189,lost my tooth 2day whilst i was eating gum...oww,negative.
190,happy 1 year! <3,positive
191,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive
192, *phew*  Will make a note in case anyone else runs into the same issueÃÂ¯ÃÂ¿ÃÂ½,neutral
193,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,positive.
194,I`m starving!! This diet is killing me but I can`t eat after 8pm,negative.
195, i talk to you,neutral.
196,im soo bored...im deffo missing my music channels,neutral.
197, nite nite bday girl  have fun at concert,positive
198,"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral
199,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral
200,should be sleeping.  lost my voice a couple day ago.,neutral
201,http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative
